Gene association,RxnID,RxnFormula,transport class,reversibility,lb,ub,annotation note for gene annotation
(G_SCO0137 or  G_SCO3196) and G_SCO1391 and G_SCO5841 ,FRUpts ,pep[c] + fru[e]  -> pyr[c] + f1p[c] ,PTS,false,0,1000,"BLAST alignment of FASTA sequences, G_SCO0137 or  G_SCO3196, Evalue=2e-04"
(G_SCO0836 or G_SCO2070) and G_SCO2656 and G_SCO4498 ,GLUt2r ,h[e] + glu__L[e]  <=> h[c] + glu__L[c] ,proton symport,true,-1000,1000,"SCO4498 coding for protein that has 90% identity on protein homology with e.g. S. ambofaciens. BLAST alignment of FASTA sequences e.g SCO4498 , SCO0836 Evalue=2.3"
G_SCO3826 or G_SCO5963 or G_SCO6330 or G_SCO7187 o G_SCO7196 or G_SCO7660,Kt2,h[e] + k[e]  -> h[c] + k[c] ,proton symport,false,0,1000,"KEGG for assigning functionality of G_SCO5963 and BLAST alignment of FASTA sequence e.g G_SCO3826 ,  G_SCO5963  Evalue=3e-11"
(G_SCO3698 or G_SCO6837) and ( G_SCO7367 or G_SCO3577 or G_SCO3578 or SCO2128 ),ASO3t8 ,h2o[c] + atp[c] + aso3[c]  -> h[c] + adp[c] + pi[c] + aso3[e] ,ABC,false,0,1000,KEGG for assigning funtionality of SCO6837 and BLAST alignemnt of FASTA sequences e.g G_SCO3698 and SCO7367 Evalue=0.55 
G_SCO7002 or G_SCO5057 ,PTRCt2 ,h[e] + ptrc[e]  -> h[c] + ptrc[c] ,proton symport,false,0,1000,KEGG for assigning functionality of G_SCO7002 and BLAST alignment of FASTA sequences e.g G_SCO7002 or G_SCO5057 Evalue=2e-04
G_SCO6370 and G_SCO6739,CHLt2 ,h[e] + chol[e]  -> h[c] + chol[c] ,proton symport,false,0,1000,KEGG for assigning functionality of G_SCO6370 and BLAST alignment of FASTA sequences e.g. G_SCO6370 and G_SCO6739 Evalue=0.093
G_SCO0874 and (  G_SCO3024 or G_SCO3521or G_SCO0776 or G_SCO1310 or G_SCO2772 or G_SCO6751 ),CD2t4,h[e] + cd2[c]  <=> h[c] + cd2[e] ,proton antiport,true,-1000,1000,KEGG for assigning functionality of G_SCO0874 and BLAST alignement of FASTA sequences e.g. G_SCO0874 and   G_SCO3024 Evalue=0.62
G_SCO2772 or G_SCO3024 or G_SCO3521  or  G_SCO0776 or G_SCO1310 or G_SCO2772 or G_SCO6751 ,COBALT2t3 ,h[e] + cobalt2[c]  -> h[c] + cobalt2[e] ,proton antiport,false,0,1000,KEGG for assigning functionality of G_SCO2772 and BLAST alignment of FASTA sequences e.g. G_SCO2772 or G_SCO0776 Evalue=2e-62
G_SCO2772 or G_SCO3024 or G_SCO3521  or  G_SCO0776 or G_SCO1310 or G_SCO2772 or G_SCO6751 ,ZN2t3,h[e] + zn2[c]  -> h[c] + zn2[e] ,proton antiport,false,0,1000,KEGG for assigning functionality of G_SCO2772 and BLAST alignment of FASTA sequences e.g. G_SCO2772 or G_SCO0776 Evlaue=2e-62 
(G_SCO2071 or G_SCO3185 or SCO3139 or SCO3564 or SCO3603 or SCO5246) and G_SCO1962,NAt3_15,3h[e] + 2na1[c]  ->3 h[c] + 2na1[e] ,proton antiport,false,0,1000,KEGG for assigning functionality of G_SCO2071 and G_SCO1962 and BLAST alignment of FASTA sequences e.g. G_SCO2071 or G_SCO3185 Evalue=6e-12 and e.g G_SCO1962 G_SCO2071 Evlaue=0.44
G_SCO2959 or G_SCO3809 or G_SCO0213,NO3t7,no3[e] + no2[c]  -> no2[e] + no3[c] ,facilitated antiport,false,0,1000,KEGG for assigning functionality of G_SCO2959 and BLAST alignment of FASTA sequences e.g. G_SCO2959 or G_SCO3809 Evalue=1.8
G_SCO3915 or G_SCO5578 or G_SCO7153 or G_SCO4007 or G_SCO4024 or G_SCO4265 or G_SCO4896 or G_SCO5947 ,GLCt2 ,glc__D[e] + h[e]  -> h[c] + glc__D[c] ,proton symport,false,0,1000,BLAST alignment of FASTA sequences e.g. G_SCO3915 or G_SCO5578 Evalue=5e-04
G_SCO6567 and G_SCO6646,ARBt2r ,h[e] + arab__L[e]  <=> h[c] + arab__L[c] ,proton symport,true,-1000,1000,KEGG for assigning functionality of G_SCO6567 and G_SCO6646 and BLAST alignment of FASTA sequences e.g. G_SCO6567 and G_SCO6646 Evalue=0.66
G_SCO6690 or G_SCO6809 or G_SCO6822 or G_SCO6896 or G_SCO6899 or G_SCO6970 or G_SCO7128 ,AKGt2r ,h[e] + akg[e]  <=> h[c] + akg[c] ,proton symport,true,-1000,1000,"BLAST alignment of FASTA sequences e.g. G_SCO6690, G_SCO7128 Evalue=2e-06"
(G_SCO0423 or G_SCO0839 or G_SCO2454 or G_SCO2519 or G_SCO3166 or G_SCO5084 or G_SCO5502 or G_SCO5905 or G_SCO6091 or G_SCO6666 or G_SCO7077 or G_SCO7090 ) and G_SCO5083,ACTt,2 nad[c] + act[c]  -> 2 nadh[c] + gact[e] ,facilitated symport,false,0,1000,TransportDB for assigning functionality for G_SCO0423 and BLAST alignment of FASTA sequences e.g. G_SCO0423 or  G_SCO5084 Evalue=2e-36
G_SCO3139 or G_SCO4437 or G_SCO0152  or G_SCO1218 ,INOSTt4 ,inost[e] + na1[e]  -> inost[c] + na1[c] ,sodium symport,false,0,1000,TransportDB for assigning  functionality for  G_SCO1218  and BLAST alignment pf FASTA sequences e.g. G_SCO3139 or G_SCO4437 Evalue=5e-22
G_SCO1632 and G_SCO1633 and G_SCO5150 and G_SCO3410 and G_SCO3410,THRt4 ,na1[e] + thr__L[e]  -> thr__L[c] + na1[c] ,sodium symport,false,0,1000,KEGG assigning functionality for G_SCO1632 and G_SCO1633 and BLAST alignment of FASTA sequences e.g. G_SCO1632 and G_SCO1633 Evalue=0.70
G_SCO0625 and G_SCO5436,MALt2_2 ,2 h[e] + mal__L[e]  -> 2 h[c] + mal__L[c] ,proton symport,false,0,1000,KEGG for assigning functionality of G_SCO0625 and BLAST alignment of FASTA sequences e.g. G_SCO0625 and G_SCO5436 Evalue=0.90
G_SCO0625 and G_SCO5436,SUCFUMt,succ[c] + fum[e]  <=> fum[c] + succ[e] ,facilitated symport,true,-1000,1000,KEGG for assigning functionality of G_SCO0625 and BLAST alignment of FASTA sequences e.g. G_SCO0625 and G_SCO5436 Evalue=0.90
( G_SCO2931 and G_SCO2930 and G_SCO2932 and G_SCO2933 ) or ( G_SCO6062 and G_SCO6063 and G_SCO6064 and G_SCO6065 ) or (G_SCO0169 or G_SCO4770) ,GLYBabc ,h2o[c] + atp[c] + glyb[e]  -> h[c] + adp[c] + pi[c] + glyb[c] ,ABC,false,0,1000,"KEGG for assigning functionality of SCO2931 or G_SCO0169.  BLAST alignment of FASTA sequences e.g. G_SCO2931 , G_SCO169 Evalue=4e-04"
(G_SCO0271 or G_SCO0353 or G_SCO0363 or G_SCO0453 or G_SCO0454 or G_SCO0455) and G_SCO7409 and G_SCO7410 and G_SCO7408  and G_SCO1065,LCTSabc ,h2o[c] + atp[c] + lcts[e]  -> h[c] + adp[c] + lcts[c] + pi[c] ,ABC,false,0,1000,"For G_SCO0271 90% identity on protein homology with e.g S.sp. 111WW2, e.g G_SCO0353 90% identity on protein homology with S.sp. MH60"
(G_SCO0272 or G_SCO0354 or G_SCO7011 or G_SCO7012) and G_SCO1065,DARBabc,h2o[c] + atp[c] + arab__D[e]  -> h[c] + adp[c] + pi[c] + arab__D[c] ,ABC,false,0,1000,For G_SCO0272 90% identity on protein homology with e.g. S. sp. 111WW2 and BLAST alignment FASTA sequences e.g. G_SCO0272 or G_SCO0354 Evalue=1e-20
( G_SCO3706 and G_SCO3705 and G_SCO3704 ) or G_SCO0824 ,MOBDabc,h2o[c] + atp[c] + mobd[e]  -> h[c] + adp[c] + pi[c] + mobd[c] ,ABC,false,0,1000,"BLAST alignment of FASTA sequences e.g. G_SCO3706, G_SCO0824 , Evalue=8e-13"
( G_SCO2404  or G_SCO3667)and G_SCO6010 and G_SCO6011 and G_SCO6009 ,XYLabc ,h2o[c] + atp[c] + xyl__D[e]  -> h[c] + adp[c] + pi[c] + xyl__D[c] ,ABC,false,0,1000,KEGG for assigning functionality for G_SCO3667. BLAST alignment of FASTA sequences e.g. G_SCO2404  or G_SCO3667 Evalue=2e-39
G_SCO2405 or ( G_SCO6567 and G_SCO6568 and G_SCO6569 ) ,ARBabc ,h2o[c] + atp[c] + arab__L[e]  -> h[c] + arab__L[c] + adp[c] + pi[c] ,ABC,false,0,1000,For G_SCO2405. 100% identity on protein homology with e.g. S. lividans TK24
(G_SCO2406 or G_SCO6980 or G_SCO6981) or ( G_SCO2746 and G_SCO2747 and G_SCO2749 ) or ( G_SCO6259 and G_SCO6258 and G_SCO6257 ) ,RIBabc,h2o[c] + atp[c] + rib__D[e]  -> h[c] + rib__D[c] + adp[c] + pi[c] ,ABC,false,0,1000,"BLAST alignment of FASTA sequences e.g. G_SCO6981, G_SCO2746 Evlaue=2e-36, "
 (G_SCO6230 or G_SCO7487 or G_SCO7505 or G_SCO6086) and G_SCO5232 and G_SCO5233 and G_SCO5234 and G_SCO4240))   or (G_SCO6005 and G_SCO6006 and G_SCO6007 and G_SCO4240 ) ,CHTBSabc ,h2o[c] + atp[c] + chtbs[e]  -> h[c] + chtbs[c] + adp[c] + pi[c] ,ABC,false,0,1000,TransportDB for G_SCO6230 and BLAST alignment of FASTA sequences e.g. G_SCO6230 or G_SCO7487 Evalue=1e-05
G_SCO2664 and  G_SCO5258 and G_SCO5259 and G_SCO5260 ,GLNabc ,h2o[c] + atp[c] + gln__L[e]  -> h[c] + gln__L[c] + adp[c] + pi[c] ,ABC,false,0,1000,"TransportDB for G_SCO2664 and  BLAST alignment of FASTA sequences e.g. G_SCO2664, G_SCO5258 Evalue=0.43"
(G_SCO3454 or G_SCO3455 or G_SCO3456) and G_SCO5668 and G_SCO5669 and G_SCO5670 and G_SCO5658 and G_SCO5667  ,SPMDabc ,h2o[c] + atp[c] + spmd[e]  -> h[c] + adp[c] + pi[c] + spmd[c] ,ABC,false,0,1000,KEGG and TransportDB  for assigning functionality of G_SCO3456 and BLAST alignment of FASTA sequences e.g. G_SCO3454 or G_SCO3456 Evalue=0.077
G_SCO4887 or G_SCO4888 ,GALabc,h2o[c] + atp[c] + gal[e]  -> h[c] + adp[c] + gal[c] + pi[c] ,ABC,false,0,1000,TransportDB and BLAST alignment of FASTA sequences G_SCO4887 or G_SCO4888 Evalue=5e-13
G_SCO5429 or (G_SCO7556 and G_SCO7557 and G_SCO7555 and G_SCO4240 ) or ( G_SCO2796 and G_SCO2797 and G_SCO2795 and G_SCO4240 ) ,CELLBabc ,h2o[c] + atp[c] + cellb[e]  -> h[c] + cellb[c] + adp[c] + pi[c] ,ABC,false,0,1000,"TranspportDB and BLAST alignment of FASTA sequences G_SCO5429 , G_SCO7556 Evalue=3e-28"
(G_SCO5961 and  G_SCO6454 and G_SCO6452 and G_SCO6453 and G_SCO6451 ) or G_SCO2499  ,Niabc ,h2o[c] + atp[c] + ni2[e]  -> h[c] + adp[c] + pi[c] + ni2[c] ,ABC,false,0,1000,KEGG assigning functionality for G_SCO5961
G_SCO6094 or ( G_SCO7544 and G_SCO7545 and G_SCO7546 ) ,TAURabc ,h2o[c] + atp[c] + taur[e]  -> h[c] + adp[c] + pi[c] + taur[c] ,ABC,false,0,1000,"G_SCO6094, 90% similarity on protein homolog with e.g. S. Sp. 2114.2, S.sp. 2221.1, S.sp.19,… BLAST alignment of FASTA sequences G_SCO6094,  G_SCO7544 Evalue=1e-24"
(G_SCO6111 or G_SCO6455) or ( G_SCO1559 and G_SCO1558 and G_SCO1557 ) ,METabc ,h2o[c] + atp[c] + met__L[e]  -> h[c] + adp[c] + pi[c] + met__L[c] ,ABC,false,0,1000,BLAST alignment of FASTA sequences G_SCO6111 G_SCO1559 Evalue=7e-39
G_SCO6149 or ( G_SCO5648 and G_SCO5647 and G_SCO5646 ),THMabc ,h2o[c] + atp[c] + thm[e]  -> h[c] + adp[c] + pi[c] + thm[c] ,ABC,false,0,1000,"KEGG for assigning functionality G_SCO6149 and BLAST alignment of FASTA sequences G_SCO6149, G_SCO5648 Evalue=2e-3"
G_SCO7680 or ( G_SCO3706 and G_SCO3705 and G_SCO3704 ),SULabc,h2o[c] + atp[c] + so4[e]  -> h[c] + adp[c] + pi[c] + so4[c] ,ABC,false,0,1000,"BLAST alignment of FASTA sequences G_SCO7680, G_SCO3706 Evalue=9e-21"
G_SCO0164 or G_SCO0860 or G_SCO6460 ,CD2abc ,h2o[c] + atp[c] + cd2[c]  -> h[c] + adp[c] + pi[c] + cd2[e] ,ABC,false,0,1000,"G_SCO0164 90% similarity on protein homology with e.g. S.sp. 19, S.sp. 2114.2, S.sp. 2221.1,… and BLAST alignment of FASTA sequences G_SCO0164 r G_SCO6460 Evalue=4e-60"
