RxnID,Gene association,RxnFormula,reversibility,lb,ub
FRUpts ,(G_SCO0137 or  G_SCO3196) and G_SCO1391 and G_SCO5841 ,pep[c] + fru[e]  -> pyr[c] + f1p[c] ,false,0,1000
GLUt2r ,(G_SCO0836 or G_SCO2070) and G_SCO2656 and G_SCO4498 ,h[e] + glu__L[e]  <=> h[c] + glu__L[c] ,true,-1000,1000
Kt2,G_SCO3826 or G_SCO5963 or G_SCO6330 or G_SCO7187 o G_SCO7196 or G_SCO7660,h[e] + k[e]  -> h[c] + k[c] ,false,0,1000
ASO3t8 ,(G_SCO3698 or G_SCO6837) and ( G_SCO7367 or G_SCO3577 or G_SCO3578 ),h2o[c] + atp[c] + aso3[c]  -> h[c] + adp[c] + pi[c] + aso3[e] ,false,0,1000
PTRCt2 ,G_SCO7002 or G_SCO5057 ,h[e] + ptrc[e]  -> h[c] + ptrc[c] ,false,0,1000
CHLt2 ,G_SCO6370 and G_SCO6739,h[e] + chol[e]  -> h[c] + chol[c] ,false,0,1000
CD2t4,G_SCO0874 and ( G_SCO0776 or G_SCO1310 or G_SCO2772 or G_SCO6751 ),h[e] + cd2[c]  <=> h[c] + cd2[e] ,true,-1000,1000
COBALT2t3 ,G_SCO2772 or G_SCO3024 or G_SCO3521  or  G_SCO0776 or G_SCO1310 or G_SCO2772 or G_SCO6751 ,h[e] + cobalt2[c]  -> h[c] + cobalt2[e] ,false,0,1000
CD2t4,G_SCO2772 or G_SCO3024 or G_SCO3521  or  G_SCO0776 or G_SCO1310 or G_SCO2772 or G_SCO6751 ,h[e] + cd2[c]  <=> h[c] + cd2[e] ,true,-1000,1000
ZN2t3,G_SCO2772 or G_SCO3024 or G_SCO3521  or  G_SCO0776 or G_SCO1310 or G_SCO2772 or G_SCO6751 ,h[e] + zn2[c]  -> h[c] + zn2[e] ,false,0,1000
NAt3_1,(G_SCO2071 or G_SCO3185) and G_SCO1962,h[e] + na1[c]  -> h[c] + na1[e] ,false,0,1000
NO3t7,G_SCO2959 or G_SCO3809 or G_SCO0213,no3[e] + no2[c]  -> no2[e] + no3[c] ,false,0,1000
GLCt2 ,G_SCO3915 or G_SCO5578 or G_SCO7153 or G_SCO4007 or G_SCO4024 or G_SCO4265 or G_SCO4896 or G_SCO5947 ,glc__D[e] + h[e]  -> h[c] + glc__D[c] ,false,0,1000
ARBt2r ,G_SCO6567 and G_SCO6646,h[e] + arab__L[e]  <=> h[c] + arab__L[c] ,true,-1000,1000
AKGt2r ,G_SCO6690 or G_SCO6809 or G_SCO6822 or G_SCO6896 or G_SCO6899 or G_SCO6970 or G_SCO7128 ,h[e] + akg[e]  <=> h[c] + akg[c] ,true,-1000,1000
ACTt,(G_SCO0423 or G_SCO0839 or G_SCO2454 or G_SCO2519 or G_SCO3166 or G_SCO5084 or G_SCO5502 or G_SCO5905 or G_SCO6091 or G_SCO6666 or G_SCO7077 or G_SCO7090 ) and G_SCO5083,2 nad[c] + act[c]  -> 2 nadh[c] + gact[e] ,false,0,1000
INOSTt4 ,G_SCO3139 or G_SCO4229 or G_SCO4437 or G_SCO0152 or G_SCO0871 or G_SCO1218 ,inost[e] + na1[e]  -> inost[c] + na1[c] ,false,0,1000
PROt4 ,G_SCO5529 or G_SCO5282 or G_SCO5827 or G_SCO5871 or G_SCO7596,na1[e] + pro__L[e]  -> pro__L[c] + na1[c] ,false,0,1000
THRt4 ,G_SCO1632 and G_SCO1633 and G_SCO5150 and G_SCO3410 and G_SCO3410,na1[e] + thr__L[e]  -> thr__L[c] + na1[c] ,false,0,1000
MALt2_2 ,G_SCO0625 and G_SCO5436,2 h[e] + mal__L[e]  -> 2 h[c] + mal__L[c] ,false,0,1000
SUCFUMt,G_SCO0625 and G_SCO5436,succ[c] + fum[e]  <=> fum[c] + succ[e] ,true,-1000,1000
GLYBabc ,( G_SCO2931 and G_SCO2930 and G_SCO2932 and G_SCO2933 ) or ( G_SCO6062 and G_SCO6063 and G_SCO6064 and G_SCO6065 ) or (G_SCO0169 or G_SCO4770) ,h2o[c] + atp[c] + glyb[e]  -> h[c] + adp[c] + pi[c] + glyb[c] ,false,0,1000
LCTSabc ,(G_SCO0271 or G_SCO0353 or G_SCO0363 or G_SCO0453 or G_SCO0454 or G_SCO0455) and G_SCO7409 and G_SCO7410 and G_SCO7408  and G_SCO1065,h2o[c] + atp[c] + lcts[e]  -> h[c] + adp[c] + lcts[c] + pi[c] ,false,0,1000
DARBabc,(G_SCO0272 or G_SCO0354 or G_SCO7011 or G_SCO7012) and G_SCO1065,h2o[c] + atp[c] + arab__D[e]  -> h[c] + adp[c] + pi[c] + arab__D[c] ,false,0,1000
MOBDabc,( G_SCO3706 and G_SCO3705 and G_SCO3704 ) or G_SCO0824 ,h2o[c] + atp[c] + mobd[e]  -> h[c] + adp[c] + pi[c] + mobd[c] ,false,0,1000
XYLabc ,( G_SCO2404  or G_SCO3667)and G_SCO6010 and G_SCO6011 and G_SCO6009 ,h2o[c] + atp[c] + xyl__D[e]  -> h[c] + adp[c] + pi[c] + xyl__D[c] ,false,0,1000
ARBabc ,G_SCO2405 or ( G_SCO6567 and G_SCO6568 and G_SCO6569 ) ,h2o[c] + atp[c] + arab__L[e]  -> h[c] + arab__L[c] + adp[c] + pi[c] ,false,0,1000
RIBabc,(G_SCO2406 or G_SCO6980 or G_SCO6981) or ( G_SCO2746 and G_SCO2747 and G_SCO2749 ) or ( G_SCO6259 and G_SCO6258 and G_SCO6257 ) ,h2o[c] + atp[c] + rib__D[e]  -> h[c] + rib__D[c] + adp[c] + pi[c] ,false,0,1000
CHTBSabc , ((G_SCO2432 or G_SCO6229 or G_SCO6230 or G_SCO7487 or G_SCO7505 or G_SCO6086 or G_SCO6087) and G_SCO5232 and G_SCO5233 and G_SCO5234 and G_SCO4240))   or (G_SCO6005 and G_SCO6006 and G_SCO6007 and G_SCO4240 ) ,h2o[c] + atp[c] + chtbs[e]  -> h[c] + chtbs[c] + adp[c] + pi[c] ,false,0,1000
GLNabc ,G_SCO2664 and  G_SCO5258 and G_SCO5259 and G_SCO5260 ,h2o[c] + atp[c] + gln__L[e]  -> h[c] + gln__L[c] + adp[c] + pi[c] ,false,0,1000
SPMDabc ,(G_SCO3454 or G_SCO3455 or G_SCO3456) and G_SCO5668 and G_SCO5669 and G_SCO5670 and G_SCO5658 and G_SCO5667  ,h2o[c] + atp[c] + spmd[e]  -> h[c] + adp[c] + pi[c] + spmd[c] ,false,0,1000
GALabc,G_SCO4887 or G_SCO4888 ,h2o[c] + atp[c] + gal[e]  -> h[c] + adp[c] + gal[c] + pi[c] ,false,0,1000
CELLabc ,G_SCO5429 or (G_SCO7556 and G_SCO7557 and G_SCO7555 and G_SCO4240 ) or ( G_SCO2796 and G_SCO2797 and G_SCO2795 and G_SCO4240 ) ,h2o[c] + atp[c] + cellb[e]  -> h[c] + cellb[c] + adp[c] + pi[c] ,false,0,1000
Niabc ,(G_SCO5961 and  G_SCO6454 and G_SCO6452 and G_SCO6453 and G_SCO6451 ) or G_SCO2499  ,h2o[c] + atp[c] + ni2[e]  -> h[c] + adp[c] + pi[c] + ni2[c] ,false,0,1000
RMNabc,( G_SCO0670 or G_SCO6979) and G_SCO0809 and G_SCO0810 and G_SCO0808 and G_SCO0811 ,h2o[c] + atp[c] + rmn[e]  -> h[c] + adp[c] + pi[c] + rmn[c] ,false,0,1000
TAURabc ,G_SCO6094 or ( G_SCO7544 and G_SCO7545 and G_SCO7546 ) ,h2o[c] + atp[c] + taur[e]  -> h[c] + adp[c] + pi[c] + taur[c] ,false,0,1000
METabc ,(G_SCO6111 or G_SCO6455) or ( G_SCO1559 and G_SCO1558 and G_SCO1557 ) ,h2o[c] + atp[c] + met__L[e]  -> h[c] + adp[c] + pi[c] + met__L[c] ,false,0,1000
THMabc ,G_SCO6149 or ( G_SCO5648 and G_SCO5647 and G_SCO5646 ),h2o[c] + atp[c] + thm[e]  -> h[c] + adp[c] + pi[c] + thm[c] ,false,0,1000
SULabc,G_SCO7680 or ( G_SCO3706 and G_SCO3705 and G_SCO3704 ),h2o[c] + atp[c] + so4[e]  -> h[c] + adp[c] + pi[c] + so4[c] ,false,0,1000
CD2abc ,G_SCO0164 or G_SCO0860 or G_SCO6460 ,h2o[c] + atp[c] + cd2[c]  -> h[c] + adp[c] + pi[c] + cd2[e] ,false,0,1000
MG2uabc ,G_SCO3216 or G_SCO2499 or G_SCO4332 ,h2o[c] + atp[c] + mg2[e]  -> h[c] + adp[c] + pi[c] + mg2[c] ,false,0,1000
