"NEW TRANSPORT REACTIONS, i.e NOT EXISTING in SCOGEM MODEL, RE-DEFINED GENE ASSOCIATION, RXN FORMULA and RXNID",,,,,,,,
Gene association,Substrate,Transport Rxn formula,Transport Rxn ID,Subtype,Family Name,Transporter Class,TC number,Notes
"ion channels, PTS transporters, Unclassified",,,,,,,,
SCO3190 ,"actinorhodin secretion-actionrhodin via facilitaed transport (Paper: Wang C-X at al, 2007, Journal of Basic Microbiology, large-conductance mechanosensitive ion channel (TransportDB: ions (not specified), osmotic channel (Transport Classification Database) or ions",act_c[c]<=> act_e[e] ,ACTdiff,,The Large Conductance Mechanosensitive Ion Channel (MscL) Family,Ion Channels,1.A.22,
SCO2539,ferrous ion (defined in UniProt),fe2_e[e] + gtp_c[c]+h2o_c[c] -> fe2_c[c] + gdp_c[c] + pi_c[c]  + h_c[c],FEt,,"The Ferrous Iron Uptake (FeoB) Family, ferrous iron transport protein B==ferrous ion uptake system",Unclassified,9.A.8,
SCO2276,"iron ion transport (UniProt, KEGG)",hemeO_c[c] + ATP_c[c] + h20_c[c] + fe2_e[e] -> hemeA_c[c] + adp_c[c] + pi_c[c] + fe2_c[c],FeHemu,,The Iron/Lead Transporter (ILT) Superfamily,Unclassified,9.A.10,
SCO2277 and SCO3963,"iron ion via permease (UniProt, KEGG)",fe2_e[e] -> fe2_c[c],FEt,,The Iron/Lead Transporter (ILT) Superfamily,Unclassified,9.A.10,"sco2277 sco3963-max score 18.5 total score 52.0 query cover 14%, Evalue 0.28 Ident 53% "
SCO5583 or SCO3085 ,ammonium,nh4_e[e]<=>nh4_c[c],NH4t2,,The Ammonia Transporter Channel (Amt) Family,Ion Channels,1.A.11,sco3085 sco5583-max score 32.7 total score 47.4 query cover 54% Evalue 1e-06 Ident 31%; 
SCO4104 or SCO5481,"S-adenosylmethionine-induced ABC transporter (Yazawa M et al, Nature, 2007)",amet_c[c] + ca2_e[e]  + h2o_c[c] + atp_c[c] -> amet_c[c] + ca2_c[c] + adp_c[c] + pi_c[c]+ h_c[c],AMEt,,The Homotrimeric Cation Channel (TRIC) Family,Ion Channels,1.A.62,SCO4104 SCO5481 (max score 137 toal score 137 query cover 94% Evalue 3e-45 Ident 40%)
SCO0245 and SCO2499 and ( SCO0210 or SCO5154 or SCO7540) or SCO0246 or SCO1435 or SCO1436 or SCO3764 or SCO1251 or SCO2534 or SCO3765 ,"hemolysin C (HlyC) homolog, magnesium and cobalt efflux protein CorC (UniProt: 90% Identity)",cobalt2_e[e] + atp_c[c] + h2o_c[c]->cobalt2_c[c] + adp_c[c] + pi_c[c]+ h_c[c],COBALTabc,,The HlyC/CorC (HCC) Family,Unclassified,9.A.40,"sco0245 sco0246-max score 147 total score 175 query cover 95% Evalue 5e-45 Ident 35%, sco0245 sco1435-max score 196 total score 196 query cover 92% Evalue 1e-64 Ident 36%; sco0245 sco1436- max score 162 total score 162 query cover 92% Evalue 1e-50, Ident 35%; sco0245 sco3764-max score 178 total score 194 query cover 97% Evalue 9e-58, Ident 35%, sco0245 sco2534-max score 50.4 total score 69.7 query cover 91% Evalue 3e-11, Ident 24%, sco0245 sco3765-max score 156 total score 175 query cover 93% Evalue 2e-48 Ident 38%"
Secondary Transporters,,,,,,,,
SCO4097 or SCO2914 or SCO4612 or SCO5900 or SCO5977 or SCO6014 or SCO6385,"based on similarity score SCO2914 SCO4097, D-alanine, amino acid (UniProt, KEGG, unidentified, aslo based on similarity score); ",h_e[e] + ala__D_e[e]  -> h_c[c] + ala__D_c[c] ,ALAtsecond,,The Amino Acid-Polyamine-Organocation (APC) Family,Secondary Transporter,2.A.3,"SCO4097 or SCO2914 ( max score 28.1, total score 42.7 query cover 71% Evalue 5e-04, Ident 22%, SCO4097 or SCO 6385 (max score 291 total score 291 query cover 93% Evalue 4e-93 Ident 35% SCO2914 or SCO4612"
