Source,"NEW TRANSPORT REACTIONS with METABOLITES not involves in METABOLIC REACTIONS, therefore sink reactions for those metabolites will need to be integrated into scoGEM model in addition ",,,,,,,,
,Gene association,Substrate,Transport Rxn formula,Transport Rxn ID,Subtype,Family Name,Transporter Class,TC number,Notes
,"ion channels, PTS transporters, Unclassified",,,,,,,,
"Literature (Puttick et al., Biochimica et Biophysica Acta (BBA) 2008 )",SCO1391,"Histidine (Puttick et al., Biochimica et Biophysica Acta (BBA) 2008 )","pep_c[c] + his__L_e[e]-> pyr_c[c] + phis__L_c[c] (phis__L_c[c] not in scoGEM model, create sink rxn for this metablite)",HISpep,Enzyme I,General PTS,Phosphotransferase System (PTS),4.A,"phis_c[c] (metabolite not in scoGEM model; note: phosphorylated histidine not stable-rapid hydrolysis of the phosphoryl group under acidic conditions; Puttick et al., Biochimica et Biophysica Acta (BBA) 2008)"
"KEGG, protein inferd homology (90%): Streptomyces gancidicus BKS 13-15, Streptomyces sp. MH60, Streptomyces lividans TK24",SCO0136,ascorbate (metabolite not in scoGEM model-create sink rxn),pep_c[c] + asc__L_e[e] (asc__L_e[e] not in scoGEM model)-> pyr_c[c] + asc6p_c[c](asc6p_c[c] not in scoGEM model) ,ASCpts,Enzyme IIC,Sugar Specific PTS,Phosphotransferase System (PTS),4.A,"asc6p_c[c](metabolite, not in scoGEM model, create sink rxn for this metabolite)"
KEGG,SCO0562 or SCO0892 or SCO1963 or SCO2366 or SCO6313,tellurium not in scoGEM model-create sink rxn ),Tel_e[e] (not in scoGEM model) <=> Tel_c[c] (not in scoGEM model),Telu,,The Tellurium Ion Resistance (TerC) Family,Unclassified,9.A.30,"SCO0562 SCO0892(Max score 29.6, Total score 79.3 query cover 52% Evalue 7e-05, ident 24%) ; SCO0562 SCO1963 (max score 21.6, total score 53.5, query cover 47% Evalue 0.029 Ident 35%; SCO0562 SCO2366 ((max score 611 total score 611 query cover 99% Evalue 0.0 Ident 85%); SCO0562 SCO6313 (max score 573 total score 573 query cover 93% value 0.0 ident 86%"
,Secondary Transporters,,,,,,,,
"KEGG, protein inferd homology (90%) smart blast: Streptomyces sp. CB09001",SCO1138 and SCO1140,"tricarboxylate (TctC); cic, cis-Butadiene-1,2,4-tricarboxylate: CCbuttc_c (not in scoGEM model)",CCbuttc_e[e] (not in scoGEM model)+ na1_e[e] -> CCbuttc_c[c] (not in scoGEM model) + na1_c[c],CCBUTTCt,TctC,The Tricarboxylate Transporter (TTT) Family,Secondary Transporter,2.A.80,SCO1138 SCO1140;max score 16.5 total scoe 16.5 query cover 5% Evalue 1.6 Ident 33%
"KEGG, infered homology (100%): Streptomyces sp. 111WW2, Literature:Rettner et al, 2010",SCO0513,Autoinducer-2 export (furanosyl borate diester export),fb_c[c](not in the scoGEM model)-> fb_e[e](not in the scoGEM model),FBae1,,The Autoinducer-2 Exporter (AI-2E) Family (Formerly the PerM Family,Secondary Transporter,2.A.86,
KEGG,SCO0791 or SCO0796 or SCO1099 or SCO1118 or SCO1985 or SCO7159 or SCO7318 ,fusaric acid efflux,fus_e[e] (metabolite not in the model) <=> fus_c[c](metabolite not in the model),FUSt,,The Aromatic Acid Exporter (ArAE) Family,Secondary Transporter,2.A.85,SCO7091 or SCO7096 (max score 62.0 total score 62.0 query score 47% Evalue 5e-15 Ident 30%)
KEGG,SCO2646,"(Transporter Classification Database, substrate Indigoidine-not in scoGEM model)",indig_e[e](not in scoGEM model) <=> indig_c[c](not in scoGEM model),INDIGt,,The Drug/Metabolite Transporter (DMT) Superfamily,Secondary Transporter,2.A.7,
KEGG,SCO2898 or SCO3164 or SCO3297 or SCO4592 or SCO5210 or SCO5531 or SCO5851 or SCO6376 or SCO7394,"multidrug efflux (SMR) (UniProt, KEGG unidentified): TransporterDB for Actnobacteria Mycobacterium tuberculosis:tetraphenylphosphonium (TPP)",TPP_e[e] (not in scoGEM model) -> TPP_c[c](met not in scoGEM model),TPPt,SMR,The Drug/Metabolite Transporter (DMT) Superfamily,Secondary Transporter,2.A.7,SCO2898  or SCO 3164(max score 202 total score 202 query covr 100% Evalue 2e-74 Ident 100%
