Protein-Name,note about a transporter encoded by the gene,Gene association,Substrate,Subtype,Family,Family Name,Transporter Class,Transport Reaction,TC number
SCO0169,,"(( SCO2931 and SCO2930 and SCO2932 and SCO2933 ) or ( SCO6062 and SCO6063 and SCO6064 and SCO6065 )) (Kim model, scoGEM model)",glycine betaine,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,M_h2o_c[c] + M_atp_c[c] + M_glyb_e[e]  -> M_h_c[c] + M_adp_c[c] + M_pi_c[c] + M_glyb_c[c]  (Kim model),3.A.1
SCO4770,,"(( SCO2931 and SCO2930 and SCO2932 and SCO2933 ) or ( SCO6062 and SCO6063 and SCO6064 and SCO6065 )) (Kim model, scoGEM model)",glycine betaine,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,M_h2o_c[c] + M_atp_c[c] + M_glyb_e[e]  -> M_h_c[c] + M_adp_c[c] + M_pi_c[c] + M_glyb_c[c]  (Kim model),3.A.1
SCO0065 ,"alpha-glucosidase uptake permease, strongly induced by trehalose and melibiose and weakly induced by lactose and glycerol but not glucose (UniProt, KEGG, Transpor Classification Database","( SCO2229 and SCO2230 and SCO2231 and SCO4240 ) (Kim model, scoGEM model)","sugar (alpha-glucose, maltose and maltodextrin uptake)(Transport Classification Database, UniProt, KEGG))",binding protein (MALTabc in scoGEM),ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + malt_e[e]  -> h_c[c] + malt_c[c] + adp_c[c] + pi_c[c] ,3.A.1
SCO0066,"alpha-glucosidase uptake permease, strongly induced by trehalose and melibiose and weakly induced by lactose and glycerol but not glucose (UniProt, KEGG, Transpor Classification Database","( SCO2229 and SCO2230 and SCO2231 and SCO4240 ) (Kim model, scoGEM model)","sugar (alpha-glucose, maltose and maltodextrin uptake)(Transport Classification Database, UniProt, KEGG))",membrane (MALTabc in scoGEM),ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + malt_e[e]  -> h_c[c] + malt_c[c] + adp_c[c] + pi_c[c] ,3.A.1
SCO0067,"alpha-glucosidase uptake permease, strongly induced by trehalose and melibiose and weakly induced by lactose and glycerol but not glucose (UniProt, KEGG, Transpor Classification Database","( SCO2229 and SCO2230 and SCO2231 and SCO4240 ) (Kim model, scoGEM model)","sugar (alpha-glucose, maltose and maltodextrin uptake)(Transport Classification Database, UniProt, KEGG))",membrane (MALTabc in scoGEM),ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + malt_e[e]  -> h_c[c] + malt_c[c] + adp_c[c] + pi_c[c] ,3.A.1
SCO0121,multidrug ABC ATP dependent transporter (UniProt),,daunorubicin (metabolite not in scoGEM model),binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + new_metabolite_e[e]  -> h_c[c] + new_metabolite_c[c] + adp_c[c] + pi_c[c] ,3.A.1
SCO0271,"Based on sequence similarity (90% identity) of the SCO0271 to lacF_1 gen in Streptomyces sp. 111WW2, coded transporter protein (ABC transporter) can uptake lactose",,"sugar (lactose, UniProt)",membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + lcts_e[e]  -> h_c[c] + lcts_c[c] + adp_c[c] + pi_c[c] ,3.A.1
SCO0272,"Based on sequence similarity (90% identity) of the SCO0272 to ara_Q in Streptomyces sp. 111WW2, coded transporter protein (ABC transporter) can uptake L-arabinose",,"sugar(L-arabinose, UniProt)",membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + arab__L_e[e]  -> h_c[c] + arab__L_c[c] + adp_c[c] + pi_c[c] ,3.A.1
SCO0273,"Based on sequence similarity (90% identity) of the SCO0273 to SLIV_36550 in Streptomyces lividans, coded transporter protein (ABC transporter) is multiple sugar transport system substrate-binding protein can uptake maltose",,"sugar (alpha-glucose, maltose and maltodextrin uptake)(Transport Classification Database, UniProt, KEGG))",binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + malt_e[e]  -> h_c[c] + malt_c[c] + adp_c[c] + pi_c[c] ,3.A.1
SCO0290,scp0290 is a solute binding protein (ABC transporter) that can uptake raffinose (raffin)/stachyose(stys)/melibiose(melib) (KEGG),,"sugar(raffinose, stachyose, melibiose)",binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + raffin_e[e]  -> h_c[c] + raffin_c[c] + adp_c[c] + pi_c[c] ; h2o_c[c] + atp_c[c] + stys_e[e]  -> h_c[c] + stys_c[c] + adp_c[c] + pi_c[c] ; h2o_c[c] + atp_c[c] + melib_e[e]  -> h_c[c] + melib_c[c] + adp_c[c] + pi_c[c] ,3.A.1
SCO0291,"sugar permease ABC, ATP dependent ransportr (UniProt), glucose, maltose",,"sugar(glucose, maltose)",membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,"h2o_c[c] + atp_c[c] + malt_e[e]  -> h_c[c] + malt_c[c] + adp_c[c] + pi_c[c],  h2o_c[c] + atp_c[c] + glc__D_e[e]  -> h_c[c] + glc__D_c[c] + adp_c[c] + pi_c[c]",3.A.1
SCO0292,"Based on 100% identity with SLIV_36455 of Streptomyce lividans TK24, it can transport raffinose/stachyose, melibiose (UniProt, KEGG)",,"sugar(raffinose, stachyose, melibiose)",membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + raffin_e[e]  -> h_c[c] + raffin_c[c] + adp_c[c] + pi_c[c] ; h2o_c[c] + atp_c[c] + stys_e[e]  -> h_c[c] + stys_c[c] + adp_c[c] + pi_c[c] ; h2o_c[c] + atp_c[c] + melib_e[e]  -> h_c[c] + melib_c[c] + adp_c[c] + pi_c[c] ,3.A.1
SCO0322,"Based on 90% identity with tlrC gene (SLIV_36315) in Streptomyces lividans TK24, transport of macrolide",,? (Uup homolog/duplicated ATPase),ABC,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO0352,"Based on 90% identity with msmE_3 of Streptomyces coelicolor sp. 111WW2, multisugar binding protein (perhaps maltose?)",,sugar(maltose?),binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO0353,"TransporterDB and Uniprot Database: N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin, methionine, 90% similarity with lacF_9 of Streptomyces sp. 111WW2 lactose transport",,"sugar(N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin, methionine)",membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,"h2o_c[c] + atp_c[c] + malt_e[e]  -> h_c[c] + malt_c[c] + adp_c[c] + pi_c[c] , h2o_c[c] + atp_c[c] + lcts_e[e]  -> h_c[c] + lcts_c[c] + adp_c[c] + pi_c[c] ",3.A.1
SCO0354,"UniprotDatabase: 90% similarity with araQ_9 in Streptomyces sp. 111WW2, upatake L-arabinose; Uniprot, KEGG database: raffinose/Stachyose/melibiose transport",,"sugar(raffinose/Stachyose/melibiose, L-arabinose)",membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,"h2o_c[c] + atp_c[c] + raffin_e[e]  -> h_c[c] + raffin_c[c] + adp_c[c] + pi_c[c] ; h2o_c[c] + atp_c[c] + stys_e[e]  -> h_c[c] + stys_c[c] + adp_c[c] + pi_c[c] ; h2o_c[c] + atp_c[c] + melib_e[e]  -> h_c[c] + melib_c[c] + adp_c[c] + pi_c[c] , h2o_c[c] + atp_c[c] + arab__L_e[e]  -> h_c[c] + arab__L_c[c] + adp_c[c] + pi_c[c] ",3.A.1
